date,uptime_pct,tickets_opened,tickets_resolved,avg_resolution_hrs,it_cost_usd
2025-05-01,99.71314955173595,26,26,7.637142462771085,5017.812573374926
2025-05-02,99.87978763572669,21,21,6.746503067595489,4994.446059710656
2025-05-03,99.82263827984416,21,18,8.960466569698738,4922.443712794209
2025-05-04,99.67949642288654,17,28,8.996936078515741,4961.108937726475
2025-05-05,99.75371197984252,28,14,6.786528348140342,5019.396933082272
2025-05-06,99.93211492296777,30,18,6.042094744371824,5008.731824662302
2025-05-07,99.60586566052855,21,19,5.1442070984081845,5022.168476511182
2025-05-08,99.7656869896915,19,21,5.0,5024.605406904656
2025-05-09,99.90127490069644,18,22,7.102520322231005,5046.973313628384
2025-05-10,99.73066076781879,18,31,6.16020607944481,5087.194743585327
2025-05-11,99.74568910787023,29,24,10.287711614709277,5105.9922370130635
2025-05-12,99.79242328248505,22,27,7.587806632042536,5124.82303419147
2025-05-13,99.91931117008994,15,21,5.0,5180.212495906335
2025-05-14,99.74888784026523,34,22,9.628093913265094,5178.62600701927
2025-05-15,99.7644814432283,17,23,7.742565464126393,5220.548589871229
2025-05-16,99.76525189795052,25,28,8.557469220559659,5192.668572983567
2025-05-17,99.97647440661804,24,16,8.523052165250116,5261.951970852236
2025-05-18,99.9749428871179,22,22,7.944834850929809,5296.464986547152
2025-05-19,99.88032431183031,20,27,8.285013945651816,5285.314605191494
2025-05-20,99.83089491193398,15,23,7.858141007594558,5205.732679307906
2025-05-21,99.85898948607169,19,18,5.840421141051845,5210.72025062266
2025-05-22,99.91925856225207,19,21,8.050098297213712,5168.447874271831
2025-05-23,99.72513329052781,22,17,9.03585825748881,5185.433258399021
2025-05-24,99.89406632358256,23,22,7.184915381031273,5248.48001131104
2025-05-25,99.69968954658007,24,25,8.326953327104633,5259.882403022899
2025-05-26,99.74897987980373,29,17,8.129383717797094,5257.761898449919
2025-05-27,99.87256841566402,16,25,10.223478095878662,5276.450114609753
2025-05-28,99.68570554398192,21,21,7.1208745489503595,5292.876122454148
2025-05-29,99.7887945023849,20,25,7.061993755844638,5203.3615581160575
2025-05-30,99.73105960833122,16,17,7.3246023897798755,5217.999032678878
2025-05-31,99.77955045035755,18,18,7.346413387344465,5247.810126923586
2025-06-01,99.6,20,18,5.0,5242.436461551878
2025-06-02,99.65827735163921,23,22,6.536085237800143,5286.578824677498
2025-06-03,99.74400982123217,23,20,7.94982759981866,5286.471841694179
2025-06-04,99.87419699454068,19,25,7.487615227998219,5322.151792193395
2025-06-05,99.78610914537678,21,17,6.300991268704301,5418.075996475881
2025-06-06,99.80022767327175,23,30,6.502831121736929,5419.2203513148215
2025-06-07,99.85505781688818,30,17,6.966580307554562,5346.535064678092
