date,uptime_pct,tickets_opened,tickets_resolved,avg_resolution_hrs,it_cost_usd
2025-05-08,99.04967141530112,17,16,26.57147266924885,5019.096772611578
2025-05-09,98.98617356988288,22,14,23.42670279594029,5040.598854971131
2025-05-10,99.06476885381007,27,19,23.860690355531553,5092.113027672724
2025-05-11,99.1523029856408,17,17,28.079568422939758,5104.052485624049
2025-05-12,98.97658466252767,25,17,21.761239301918337,5091.100378333013
2025-05-13,98.97658630430509,15,16,22.063547456576774,5081.282885878765
2025-05-14,99.15792128155074,29,23,17.51023583008362,5077.7028229080615
2025-05-15,99.0767434729153,21,19,24.923334704859002,5075.841711082569
2025-05-16,98.95305256140651,14,17,23.34254901700818,5112.223188264418
2025-05-17,99.05425600435859,26,13,23.251848948867735,5114.820482554784
2025-05-18,98.95365823071876,23,28,19.267640160709576,5151.452486415563
2025-05-19,98.95342702464298,18,11,24.285886597160857,5147.416657410134
2025-05-20,99.02419622715661,20,20,23.16293542268898,5151.348416925938
2025-05-21,98.80867197553422,24,15,22.17631047085038,5051.438382699333
2025-05-22,98.8275082167487,23,14,23.440172630530924,5097.2547664344565
2025-05-23,98.9437712470759,26,21,25.339300843651586,5114.579190229356
2025-05-24,98.89871688796656,18,17,23.417730021305076,5164.479695722339
2025-05-25,99.03142473325953,21,18,20.779104750420686,5019.666926812654
2025-05-26,98.90919759244788,19,18,27.07954589823318,5124.085662051691
2025-05-27,98.85876962986647,17,18,23.601090977559373,5117.106180643932
2025-05-28,99.14656487689216,7,22,26.10036244481752,5172.515321480808
2025-05-29,98.97742236995134,25,17,20.414860113225473,5120.5200251245315
2025-05-30,99.00675282046879,14,26,28.569560714351326,5151.15872037766
2025-05-31,98.85752518137865,24,21,25.676765541814767,5098.487942218977
2025-06-01,98.94556172754749,22,21,22.868364374806436,5067.299494184187
2025-06-02,99.01109225897099,20,25,19.30342791229698,5163.001061877526
2025-06-03,98.88490064225778,20,14,24.197250783218962,5153.466941839359
2025-06-04,99.03756980183456,24,15,25.665598580079596,5164.338585498345
2025-06-05,98.93993613100812,19,17,18.35652879167823,5207.841972032783
2025-06-06,98.97083062502067,25,13,28.34404170124873,5232.626066431413
2025-06-07,98.93982933877706,19,13,30.596417869860247,5240.147011688592
2025-06-08,99.1852278184509,15,23,22.67995664984,5258.395061811903
2025-06-09,98.99865027752621,21,15,25.506162673057833,5378.565841073817
2025-06-10,98.8942289071044,22,22,27.06369845139214,5375.684901222137
2025-06-11,99.08225449121032,30,22,21.87493065810194,5385.739853557886
2025-06-12,98.87791563500289,21,15,23.268597858686405,5438.2725733582665
2025-06-13,99.02088635950048,19,20,25.692235892210185,5493.548870006166
2025-06-14,98.80403298761202,18,18,27.840913196012682,5552.900385284185
2025-06-15,98.86718139511015,10,14,21.382628015159565,5584.836896385644
2025-06-16,99.01968612358691,25,19,22.049396466124016,5527.6866507491195
2025-06-17,99.07384665799954,20,27,24.29752759133815,5609.358227364175
2025-06-18,99.01713682811899,20,22,18.460089011857,5552.0409577132405
2025-06-19,98.98843517176118,15,20,27.21025429897846,5567.172730975192
2025-06-20,98.96988963044107,19,18,28.576575512774216,5529.458938474224
2025-06-21,98.85214780096325,22,18,26.075724209643734,5526.252021144574
2025-06-22,98.92801557916053,18,25,24.136758049066493,5542.690141659748
2025-06-23,98.95393612290403,20,20,23.269981652031923,5558.758002432262
2025-06-24,99.10571222262189,22,10,24.72370817356899,5579.854040144026
2025-06-25,99.03436182895685,12,23,22.94383381045711,5660.539603596959
2025-06-26,98.82369598446373,29,17,27.75461827257133,5683.2163186726575
2025-06-27,99.03240839693947,18,19,19.668706187780224,5671.008486908126
2025-06-28,98.96149177195836,19,17,24.246453535177707,5719.212845322543
2025-06-29,98.93230779996941,29,22,20.648112505235616,5778.686369768775
2025-06-30,99.06116762888409,15,15,22.97182396086689,5717.305979011925
2025-07-01,99.1030999522496,13,13,22.62974034253865,5747.175982504418
2025-07-02,99.09312801191162,13,19,22.29069815930339,5782.234619619963
2025-07-03,98.91607824767773,12,26,22.656874319948056,5767.356444451963
2025-07-04,98.96907876241488,25,20,22.07183172039737,5836.141785117545
2025-07-05,99.03312634314035,25,14,20.012542409602705,5828.639005765918
2025-07-06,99.09755451271224,14,19,23.410436490895588,5834.917828439495
2025-07-07,98.95208257621547,23,11,21.872988727234464,5826.264237225301
2025-07-08,98.98143410233362,17,15,24.26920708286168,5827.043189604376
2025-07-09,98.8893665025994,23,15,19.67964835365158,5772.229435259615
2025-07-10,98.88037933759193,18,20,26.02917690617781,5700.226891129901
2025-07-11,99.08125258223942,18,23,18.597178701267552,5779.952144291149
2025-07-12,99.13562400285709,26,19,24.12047385193303,5737.604076875233
2025-07-13,98.99279898784197,23,18,28.292325306354144,5688.034459402417
2025-07-14,99.1003532897892,20,14,23.61568675526763,5580.364953722232
2025-07-15,99.03616360250476,18,17,26.04315497242464,5548.416866337757
2025-07-16,98.93548802453948,27,21,21.478069353033828,5482.262376667381
2025-07-17,99.03613956055084,30,22,25.95787193790717,5564.3631346741995
2025-07-18,99.1538036566466,22,15,25.33855029964434,5614.853989141331
2025-07-19,98.996417396089,17,23,29.668622192836594,5580.446471882446
2025-07-20,99.1564643655814,22,21,25.35691895774723,5693.068262149661
2025-07-21,98.73802548959102,24,12,31.27163797988687,5742.15653649924
2025-07-22,99.08219025043752,13,24,28.75170847045717,5725.91496732381
2025-07-23,99.00870470682382,11,21,21.718756031567107,5600.944681580131
2025-07-24,98.97009926495342,19,16,21.642599524047505,5715.491810209668
2025-07-25,99.00917607765355,18,15,22.723627314645107,5646.013186871488
2025-07-26,98.80124310853991,22,14,26.90092842938764,5563.7432495236435
2025-07-27,98.97803281121625,12,18,24.14313406842594,5614.871771124125
2025-07-28,99.03571125715118,23,24,24.010807617271706,5736.859391441089
2025-07-29,99.14778940447415,18,16,27.47509406757763,5806.073032366615
2025-07-30,98.94817297817264,18,20,19.489805094698546,5834.268488369233
2025-07-31,98.91915063971068,24,21,21.367913128272985,5864.006205452497
